Embodied Language Grounding with Implicit 3D Visual Feature Representations,25 September 2019,"['https://www.semanticscholar.org/paper/Embodied-Language-Grounding-with-Implicit-3D-Visual-Prabhudesai-Tung/3245f7b672b382d9a122fe1730ae22113d61dbc4', 'https://www.semanticscholar.org/paper/Embodied-Language-Grounding-with-3D-Visual-Feature-Prabhudesai-Tung/77e98ae704a70478fb1eea7625f54d103e427a58']","['https://www.semanticscholar.org/author/Katerina-Fragkiadaki/1705557', 'https://www.semanticscholar.org/author/Syed-Ashar-Javed/40604609', 'https://www.semanticscholar.org/author/Mihir-Prabhudesai/1381902419', 'https://www.semanticscholar.org/author/Adam-W.-Harley/34939798', 'https://www.semanticscholar.org/author/Hsiao-Yu-Fish-Tung/1693704', 'https://www.semanticscholar.org/author/Maximilian-Sieb/51039185']"
Going Deeper with Lean Point Networks,1 July 2019,"['https://www.semanticscholar.org/paper/Going-Deeper-with-Lean-Point-Networks-Le-Kokkinos/201b9d85fcb5ec70c39790664b403c40661f6bc3', 'https://www.semanticscholar.org/paper/Going-Deeper-with-Point-Networks-Le-Kokkinos/51e3fbba3f69c8c7d406b4137a9b2e14efa0a51f']","['https://www.semanticscholar.org/author/Eric-Tuan-Le/150091764', 'https://www.semanticscholar.org/author/Iasonas-Kokkinos/2010660', 'https://www.semanticscholar.org/author/Niloy-Jyoti-Mitra/1710455']"
How Aggressive Can Adversarial Attacks Be: Learning Ordered Top-k Attacks,25 September 2019,"['https://www.semanticscholar.org/paper/How-Aggressive-Can-Adversarial-Attacks-Be%3A-Learning-Zhang-Wu/4034a67fe072c2cd20be405b9657cd0c33746abe', 'https://www.semanticscholar.org/paper/Learning-Ordered-Top-k-Adversarial-Attacks-via-Zhang-Wu/d4d43809027fa009887435875c5e1f671fd55528']","['https://www.semanticscholar.org/author/Tianfu-Wu/47353858', 'https://www.semanticscholar.org/author/Zekun-Zhang/2194511']"
Revisit Knowledge Distillation: a Teacher-free Framework,25 September 2019,"['https://www.semanticscholar.org/paper/Revisit-Knowledge-Distillation%3A-a-Teacher-free-Yuan-Tay/8d2b23f77b10db21d00a5da926cb20ca0d7f907e', 'https://www.semanticscholar.org/paper/Revisiting-Knowledge-Distillation-via-Label-Yuan-Tay/7ea2a78a8d8a6327bd13aa4f2d9ace9231bd9662']","['https://www.semanticscholar.org/author/Li-Yuan/2142172', 'https://www.semanticscholar.org/author/Francis-E.-H.-Tay/40983412', 'https://www.semanticscholar.org/author/Guilin-Li/153185016', 'https://www.semanticscholar.org/author/Tsaiying-Wang/98137313', 'https://www.semanticscholar.org/author/Li-Yuan/1390761611', 'https://www.semanticscholar.org/author/Guilin-Li/47949267', 'https://www.semanticscholar.org/author/Jiashi-Feng/33221685', 'https://www.semanticscholar.org/author/Tao-Wang/1514738707']"
In-training Matrix Factorization for Parameter-frugal Neural Machine Translation,25 September 2019,"['https://www.semanticscholar.org/paper/In-training-Matrix-Factorization-for-Neural-Machine-Kaden-Scao/c78dfdc3b9ed7d869b67e22fcba68d7df7800d27', 'https://www.semanticscholar.org/paper/PARAMETER-FRUGAL-NEURAL-MACHINE-TRANS-LATION-Kaden-Scao/97802cb64260c6b80e64e032c3c6d2fa7f482598']","['https://www.semanticscholar.org/author/Teven-Le-Scao/1379806208', 'https://www.semanticscholar.org/author/Zachary-Kaden/51010350', 'https://www.semanticscholar.org/author/Raphael-Olivier/51236314']"
Compressing Deep Neural Networks With Learnable Regularization,1 September 2018,"['https://www.semanticscholar.org/paper/Compressing-Deep-Neural-Networks-With-Learnable-Choi-El-Khamy/9769f1158d09d7ef50a73ac0333956277efdac36', 'https://www.semanticscholar.org/paper/Learning-Sparse-Low-Precision-Neural-Networks-With-Choi-El-Khamy/58e48038f0996e8f50cc7836d63631e63bd239f7']","['https://www.semanticscholar.org/author/Jungwon-Lee/4914711', 'https://www.semanticscholar.org/author/Mostafa-El-Khamy/1382637019', 'https://www.semanticscholar.org/author/Yoojin-Choi/2501862', 'https://www.semanticscholar.org/author/Jungwon-Lee/35462690']"
Hyperbolic Image Embeddings,3 April 2019,"['https://www.semanticscholar.org/paper/Hyperbolic-Image-Embeddings-Khrulkov-Mirvakhabova/cc1cc334897af613e9103de9afe23e1882e0c153', 'https://www.semanticscholar.org/paper/C-V-%5D-3-A-pr-2-01-9-Hyperbolic-Image-Embeddings-Khrulkov-Mirvakhabova/2b473f109e23a4edb45c13ba9b78316afaca4f45']","['https://www.semanticscholar.org/author/Valentin-Khrulkov/10662951', 'https://www.semanticscholar.org/author/Leyla-Mirvakhabova/66660622', 'https://www.semanticscholar.org/author/Evgeniya-Ustinova/145754674', 'https://www.semanticscholar.org/author/Ivan-V.-Oseledets/1738205', 'https://www.semanticscholar.org/author/Victor-S.-Lempitsky/1740145']"
Auto-Encoding Explanatory Examples,6 December 2018,"['https://www.semanticscholar.org/paper/Auto-Encoding-Scene-Graphs-for-Image-Captioning-Yang-Tang/f6feb1af1809dfd872d868dfcc13021cc42f496c', 'https://www.semanticscholar.org/paper/Auto-Encoding-Graphical-Inductive-Bias-for-Image-Yang-Tang/38bbace118817cd18677f169a8c8e6c8b005df18']","['https://www.semanticscholar.org/author/Jianfei-Cai/50490213', 'https://www.semanticscholar.org/author/Hanwang-Zhang/5462268', 'https://www.semanticscholar.org/author/Jianfei-Cai/1688642', 'https://www.semanticscholar.org/author/Kaihua-Tang/10817432', 'https://www.semanticscholar.org/author/Xu-Yang/48520780', 'https://www.semanticscholar.org/author/Xu-Yang/47008946']"
DCTD: Deep Conditional Target Densities for Accurate Regression,25 September 2019,"['https://www.semanticscholar.org/paper/DCTD%3A-Deep-Conditional-Target-Densities-for-Gustafsson-Danelljan/0390649ad9c7025138a566f7116202f8a3ab7dfa', 'https://www.semanticscholar.org/paper/Learning-Deep-Conditional-Target-Densities-for-Gustafsson-Danelljan/ec09b6cadbdef8f13c0ec7e1259e889494db187b']","['https://www.semanticscholar.org/author/Martin-Danelljan/2488938', 'https://www.semanticscholar.org/author/Goutam-Bhat/49922196', 'https://www.semanticscholar.org/author/Fredrik-K.-Gustafsson/1389865964', 'https://www.semanticscholar.org/author/Thomas-Bo-Sch%C3%B6n/1802623']"
Single Deep Counterfactual Regret Minimization,22 January 2019,"['https://www.semanticscholar.org/paper/Single-Deep-Counterfactual-Regret-Minimization-Steinberger/fd4ca6d2aa21e3b486e1ec38fbf4640853091dc3', 'https://www.semanticscholar.org/paper/SINGLE-DEEP-COUNTERFACTUAL-REGRET-MINIMIZA/8fc6a592181cf975e986c27f906aff1c852aae44']",['https://www.semanticscholar.org/author/Eric-Steinberger/66061851']
Unrestricted Adversarial Attacks For Semantic Segmentation,25 September 2019,"['https://www.semanticscholar.org/paper/Unrestricted-Adversarial-Attacks-for-Semantic-Shen-Mao/4aa6021dfa1708791bd1b0f851e76aa6c8aedd90', 'https://www.semanticscholar.org/paper/AdvSPADE%3A-Realistic-Unrestricted-Attacks-for-Shen-Mao/ae31c1d4b711caed8b029987d692522d4997b97d']","['https://www.semanticscholar.org/author/Chengzhi-Mao/7700460', 'https://www.semanticscholar.org/author/Baishakhi-Ray/31631000', 'https://www.semanticscholar.org/author/Guangyu-Shen/49055185', 'https://www.semanticscholar.org/author/Junfeng-Yang/152211006']"
Learning to Generate 3D Training Data through Hybrid Gradient,29 June 2019,"['https://www.semanticscholar.org/paper/Learning-to-Generate-Synthetic-3D-Training-Data-Yang-Deng/2e1142d633f033167a9fad5e0d0bb9e67a067e7e', 'https://www.semanticscholar.org/paper/Learning-to-Generate-3D-Training-Data-through-Yang-Deng/d8bf8a6bcee94ac70a95934cafa858051d74c05e']","['https://www.semanticscholar.org/author/Dawei-Yang/150084688', 'https://www.semanticscholar.org/author/Jia-Deng/153302678', 'https://www.semanticscholar.org/author/Jun-Deng/145820819']"
Simple but effective techniques to reduce dataset biases,13 September 2019,"['https://www.semanticscholar.org/paper/Simple-but-effective-techniques-to-reduce-dataset-Mahabadi-Henderson/980b54847cc9a511df584b2ac6b374d877973c36', 'https://www.semanticscholar.org/paper/Simple-but-effective-techniques-to-reduce-biases-Mahabadi-Henderson/82923dbd7eca1b22de222eb8766cb48f8d25a89e']","['https://www.semanticscholar.org/author/James-Henderson/46712043', 'https://www.semanticscholar.org/author/James-Henderson/144915758', 'https://www.semanticscholar.org/author/Rabeeh-Karimi-Mahabadi/2363901']"
Differentially Private Survival Function Estimation,25 September 2019,"['https://www.semanticscholar.org/paper/Differentially-Private-Survival-Function-Estimation-Gondara-Wang/4248a7c3609b26481d446936dfa4c5a6f6828a0d', 'https://www.semanticscholar.org/paper/DIFFERENTIALLY-PRIVATE-SURVIVAL-FUNCTION-ES/4a4e0091c6dbd35cc86d32c4047d86de30fca201']","['https://www.semanticscholar.org/author/Lovedeep-Gondara/3361384', 'https://www.semanticscholar.org/author/Ke-Wang/14161046']"
